Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
,ELFBAR GH20K 20mL Straw Kiwi Ice CTN5,ELFBAR GH20K 20mL Strawberry Kiwi Ice - carton of 5,132.15,189.95,13.00,VAPE & CIGAR
,ELFBAR GH20K 20mL Wtrmln Ice,ELFBAR GH20K 20mL Watermelon Ice,26.43,37.99,13.00,VAPE & CIGAR
,ELFBAR GH20K 20mL Wtrmln Ice CTN5,ELFBAR GH20K 20mL Watermelon Ice - carton of 5,132.15,189.95,13.00,VAPE & CIGAR
,FB Beast Mode Max2 Gushin Wtrmln Apple,FLAVOUR BEAST Beast Mode Max 2 20mL Gushin Watermelon Apple,29.93,42.99,13.00,VAPE & CIGAR
,FB Beast Mode Max2 Gushin Wtrmln Ap CTN5,FLAVOUR BEAST Beast Mode Max 2 20mL Gushin Watermelon Apple - carton of 5,149.65,214.95,13.00,VAPE & CIGAR
,FB Beast Mode Max2 20mL Mega Mango,FLAVOUR BEAST Beast Mode Max 2 20mL Mega Mango,29.93,42.99,13.00,VAPE & CIGAR
,FB Beast Mode Max2 20mL Mega Mango CTN5,FLAVOUR BEAST Beast Mode Max 2 20mL Mega Mango - carton of 5,149.65,214.95,13.00,VAPE & CIGAR
827152198368,FB Beast Mode Max2 20mL Wtrmln G,FLAVOUR BEAST Beast Mode Max 2 20mL Watermelon G,29.93,42.99,13.00,VAPE & CIGAR
,FB Beast Mode Max2 20mL Wtrmln G CTN5,FLAVOUR BEAST Beast Mode Max 2 20mL Watermelon G - carton of 5,149.65,214.95,13.00,VAPE & CIGAR
,Krave PulseX 60K 20mL BlueRazz LemonHead,KRAVE Pulse X 60K 20mL Blue Razz Lemon Head,18.00,25.99,13.00,VAPE & CIGAR
,Krave PulseX 60K BlueRazz LemonHead CTN3,KRAVE Pulse X 60K 20mL Blue Razz Lemon Head - carton of 3,54.00,77.97,13.00,VAPE & CIGAR
,Krave PulseX 60K 20mL Cool Mint,KRAVE Pulse X 60K 20mL Cool Mint,18.00,25.99,13.00,VAPE & CIGAR
,Krave PulseX 60K 20mL Cool Mint CTN3,KRAVE Pulse X 60K 20mL Cool Mint - carton of 3,54.00,77.97,13.00,VAPE & CIGAR
,LVLX Boost 20mL Mad Mango Peach,LEVEL X Boost 20mL Mad Mango Peach,21.93,31.99,13.00,VAPE & CIGAR
,LVLX Boost 20mL Mad Mango Peach CTN6,LEVEL X Boost 20mL Mad Mango Peach - carton of 6,131.58,191.94,13.00,VAPE & CIGAR
,LVLX Boost 20mL Straw Rasp Blueb Ice,LEVEL X Boost 20mL Strawberry Raspberry Blueberry Ice,21.93,31.99,13.00,VAPE & CIGAR
,LVLX Boost Straw Rasp Blueb Ice CTN6,LEVEL X Boost 20mL Strawberry Raspberry Blueberry Ice - carton of 6,131.58,191.94,13.00,VAPE & CIGAR
,LVLX Boost 20mL Super Sour Apple Iced,LEVEL X Boost 20mL Super Sour Apple Iced,21.93,31.99,13.00,VAPE & CIGAR
,LVLX Boost Super Sour Apple Iced CTN6,LEVEL X Boost 20mL Super Sour Apple Iced - carton of 6,131.58,191.94,13.00,VAPE & CIGAR
,LVLX Boost 20mL Wtrmln Straw Kiwi Ice,LEVEL X Boost 20mL Watermelon Strawberry Kiwi Ice,21.93,31.99,13.00,VAPE & CIGAR
,LVLX Boost Wtrmln Straw Kiwi Ice CTN6,LEVEL X Boost 20mL Watermelon Strawberry Kiwi Ice - carton of 6,131.58,191.94,13.00,VAPE & CIGAR
,LVLX M-Series Device Obsidian Black,LEVEL X M Series Device Kit Obsidian Black,8.09,11.73,13.00,VAPE & CIGAR
,LVLX M-Series Device Obsidian Black CTN4,LEVEL X M Series Device Kit Obsidian Black - carton of 4,32.36,46.92,13.00,VAPE & CIGAR
,LVLX M-Series Kit 30mL Bomb Blue Razz,LEVEL X M Series Starter Kit 30mL Bomb Blue Razz,31.87,45.99,13.00,VAPE & CIGAR
,LVLX M-Series Kit Bomb Blue Razz CTN4,LEVEL X M Series Starter Kit 30mL Bomb Blue Razz - carton of 4,127.48,183.96,13.00,VAPE & CIGAR
,LVLX M-Series Kit Flippin' Fruit Flash,LEVEL X M Series Starter Kit 30mL Flippin' Fruit Flash,31.87,45.99,13.00,VAPE & CIGAR
,LVLX M-Series Kit Flippin' Fruit Fl CTN4,LEVEL X M Series Starter Kit 30mL Flippin' Fruit Flash - carton of 4,127.48,183.96,13.00,VAPE & CIGAR
,LVLX M-Series Kit 30mL Gusto Green Apple,LEVEL X M Series Starter Kit 30mL Gusto Green Apple,31.87,45.99,13.00,VAPE & CIGAR
,LVLX M-Series Kit Gusto Green Apple CTN4,LEVEL X M Series Starter Kit 30mL Gusto Green Apple - carton of 4,127.48,183.96,13.00,VAPE & CIGAR
,LVLX M-Series Kit Trippin' Triple Berry,LEVEL X M Series Starter Kit 30mL Trippin' Triple Berry,31.87,45.99,13.00,VAPE & CIGAR
,LVLX M-Series Kit Trippin' Triple B CTN4,LEVEL X M Series Starter Kit 30mL Trippin' Triple Berry - carton of 4,127.48,183.96,13.00,VAPE & CIGAR
,LVLX M-Series Kit Weekend Wtrmln Iced,LEVEL X M Series Starter Kit 30mL Weekend Watermelon Iced,31.87,45.99,13.00,VAPE & CIGAR
,LVLX M-Series Kit Weekend Wtrmln Ic CTN4,LEVEL X M Series Starter Kit 30mL Weekend Watermelon Iced - carton of 4,127.48,183.96,13.00,VAPE & CIGAR
6937057518032,OVNS 2500 2mL Blood Orange Ice,OVNS 2500 2mL Blood Orange Ice,11.50,16.99,13.00,VAPE & CIGAR
,OVNS 2500 2mL Blood Orange Ice CTN10,OVNS 2500 2mL Blood Orange Ice - carton of 10,115.00,169.90,13.00,VAPE & CIGAR
6937057525825,OVNS 2500 2mL Blue Blast,OVNS 2500 2mL Blue Blast,11.50,16.99,13.00,VAPE & CIGAR
,OVNS 2500 2mL Blue Blast CTN10,OVNS 2500 2mL Blue Blast - carton of 10,115.00,169.90,13.00,VAPE & CIGAR
,OVNS 2500 2mL Dragon Fruit Blue Rasp,OVNS 2500 2mL Dragon Fruit Blue Raspberry,11.00,15.99,13.00,VAPE & CIGAR
,OVNS 2500 Dragon Fruit Blue Rasp CTN10,OVNS 2500 2mL Dragon Fruit Blue Raspberry - carton of 10,110.00,159.90,13.00,VAPE & CIGAR
,OVNS 2500 2mL Mango Twist,OVNS 2500 2mL Mango Twist,11.50,16.99,13.00,VAPE & CIGAR
,OVNS 2500 2mL Mango Twist CTN10,OVNS 2500 2mL Mango Twist - carton of 10,115.00,169.90,13.00,VAPE & CIGAR
,OVNS 2500 2mL Mint Ice,OVNS 2500 2mL Mint Ice,11.00,15.99,13.00,VAPE & CIGAR
,OVNS 2500 2mL Mint Ice CTN10,OVNS 2500 2mL Mint Ice - carton of 10,110.00,159.90,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Blue Razz Ice,OVNS Max 3K 2mL Blue Razz Ice,14.25,20.99,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Blue Razz Ice CTN6,OVNS Max 3K 2mL Blue Razz Ice - carton of 6,85.50,125.94,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Mexican Mango,OVNS Max 3K 2mL Mexican Mango,14.25,20.99,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Mexican Mango CTN6,OVNS Max 3K 2mL Mexican Mango - carton of 6,85.50,125.94,13.00,VAPE & CIGAR
,OVNS Max 3K 2mL Peach Mango,OVNS Max 3K 2mL Peach Mango,14.25,20.99,13.00,VAPE & CIGAR
