1|10|135|1068.98|1407.00
1|11|137|1560.77|284.80
1|12|161|1700.40|987.80
1|13|208|1894.21|1107.50
1|14|135|1314.07|537.00
1|15|130|1529.08|353.60
1|16|181|1340.45|760.00
1|17|199|1715.05|1166.90
1|18|186|1478.83|951.00
1|19|197|1465.61|1197.00
1|20|166|1213.22|221.00
1|21|133|1029.08|661.00
1|22|100|1134.67|97.00
1|23|7|94.57|30.00
1|9|69|453.85|551.40
2|10|114|768.43|550.30
2|11|144|1064.27|491.20
2|12|181|1682.20|760.00
2|13|198|1567.91|1394.20
2|14|151|1468.71|764.00
2|15|161|1502.26|730.00
2|16|208|1567.61|1259.00
2|17|182|2083.16|1068.00
2|18|223|1709.70|1551.80
2|19|189|1293.18|1091.00
2|20|164|1012.23|499.70
2|21|148|1223.08|190.00
2|22|86|836.60|154.00
2|23|1|10.87|0.00
2|8|2|13.75|10.00
2|9|91|676.18|591.00
3|10|133|974.58|633.00
3|11|140|1245.02|445.20
3|12|206|1749.05|1042.50
3|13|203|1615.99|1865.00
3|14|161|1684.60|1104.00
3|15|192|1701.02|771.00
3|16|211|1720.85|1177.00
3|17|240|1764.49|1827.00
3|18|241|1997.15|1366.00
3|19|207|1703.78|885.30
3|20|237|1299.84|1284.00
3|21|184|1457.36|498.00
3|22|92|996.38|363.00
3|23|4|39.61|0.00
3|8|1|18.00|10.00
3|9|88|908.20|401.00
4|10|109|989.49|-11.50
4|11|162|1390.33|296.50
4|12|230|1975.11|1216.40
4|13|252|1950.46|2200.00
4|14|195|1386.56|594.00
4|15|195|1488.11|279.00
4|16|241|1760.55|1506.00
4|17|240|2032.52|957.00
4|18|234|2018.81|1078.00
4|19|221|1613.15|1900.00
4|20|222|1331.53|492.00
4|21|182|1313.94|1446.00
4|22|107|908.80|661.00
4|23|9|137.18|0.00
4|9|104|909.24|744.00
5|10|129|826.07|149.80
5|11|165|1135.43|221.30
5|12|194|1431.00|890.80
5|13|233|1709.71|1815.40
5|14|161|1439.00|574.00
5|15|173|1519.50|1017.00
5|16|156|1547.25|831.00
5|17|192|2084.31|801.30
5|18|200|1835.89|1291.00
5|19|193|1508.40|1718.90
5|20|178|1033.22|537.00
5|21|154|1183.88|229.00
5|22|101|935.36|408.00
5|23|5|69.47|0.00
5|9|102|739.59|738.00
6|10|130|876.23|690.80
6|11|153|1377.78|-40.50
6|12|260|1893.13|1521.70
6|13|268|2129.31|2061.40
6|14|173|1421.31|814.50
6|15|159|1222.02|1754.00
6|16|210|1935.09|1657.00
6|17|249|2048.63|1582.00
6|18|279|2238.07|2040.20
6|19|303|2218.27|2211.70
6|20|284|2114.42|2051.00
6|21|224|1356.30|1592.00
6|22|139|1354.31|490.00
6|23|8|39.81|0.00
6|9|127|959.04|496.50
7|10|160|946.27|954.80
7|11|191|1646.52|1410.90
7|12|191|1152.39|1426.70
7|13|254|1827.65|1854.20
7|14|174|1211.73|1153.00
7|15|201|1862.10|1129.20
7|16|213|1685.36|1523.10
7|17|236|1654.89|1724.30
7|18|246|2068.47|2015.00
7|19|256|2057.58|1937.50
7|20|234|1248.89|-738.50
7|21|205|1234.24|1013.00
7|22|135|1366.94|495.40
7|23|3|76.17|0.00
7|8|2|18.01|0.00
7|9|85|817.78|618.00
