COOKIES|2026-07-26|8.46
COOKIES|2026-08-02|2.82
COOKIES|2026-08-09|2.82
COOKIES|2026-08-16|6.77
DAIRY PRODUCTS|2026-04-12|8.84
DAIRY PRODUCTS|2026-04-19|12.69
DAIRY PRODUCTS|2026-04-26|16.54
DAIRY PRODUCTS|2026-05-03|70.01
DAIRY PRODUCTS|2026-05-10|44.20
DAIRY PRODUCTS|2026-05-17|36.92
DAIRY PRODUCTS|2026-05-24|28.94
DAIRY PRODUCTS|2026-05-31|35.92
DAIRY PRODUCTS|2026-06-07|40.91
DAIRY PRODUCTS|2026-06-14|37.43
DAIRY PRODUCTS|2026-06-21|55.39
DAIRY PRODUCTS|2026-06-28|86.83
DAIRY PRODUCTS|2026-07-05|66.37
DAIRY PRODUCTS|2026-07-12|51.89
DAIRY PRODUCTS|2026-07-19|49.89
DAIRY PRODUCTS|2026-07-26|71.39
DAIRY PRODUCTS|2026-08-02|64.37
DAIRY PRODUCTS|2026-08-09|100.77
DAIRY PRODUCTS|2026-08-16|22.95
DAIRY PRODUCTS TAXABLE|2026-04-12|2.25
DAIRY PRODUCTS TAXABLE|2026-04-19|2.25
DAIRY PRODUCTS TAXABLE|2026-04-26|11.25
DAIRY PRODUCTS TAXABLE|2026-05-10|6.75
DAIRY PRODUCTS TAXABLE|2026-05-17|4.50
DAIRY PRODUCTS TAXABLE|2026-05-24|6.75
DAIRY PRODUCTS TAXABLE|2026-05-31|6.75
DAIRY PRODUCTS TAXABLE|2026-06-07|15.75
DAIRY PRODUCTS TAXABLE|2026-06-14|4.50
DAIRY PRODUCTS TAXABLE|2026-06-21|2.25
DAIRY PRODUCTS TAXABLE|2026-06-28|15.76
DAIRY PRODUCTS TAXABLE|2026-07-05|15.77
DAIRY PRODUCTS TAXABLE|2026-07-12|4.50
DAIRY PRODUCTS TAXABLE|2026-07-26|9.01
DAIRY PRODUCTS TAXABLE|2026-08-02|13.50
DAIRY PRODUCTS TAXABLE|2026-08-09|6.75
DAIRY PRODUCTS TAXABLE|2026-08-16|6.75
DELI|2026-05-17|17.25
DELI|2026-05-31|14.61
DELI|2026-06-07|14.62
DELI|2026-06-14|37.87
DELI|2026-06-21|14.57
DELI|2026-06-28|40.78
DELI|2026-07-05|11.64
DELI|2026-07-19|23.31
DELI|2026-07-26|32.05
DELI|2026-08-02|32.05
DELI|2026-08-09|49.51
DELI|2026-08-16|20.40
DRINK/SLUSHY|2026-06-21|14.96
DRINK/SLUSHY|2026-06-28|14.96
DRINK/SLUSHY|2026-07-05|26.18
