2026-04-15|116|1146.36|1103.00|-199.00|72|62
2026-04-16|89|639.04|661.00|-107.00|58|43
2026-04-17|138|846.67|1802.00|-573.00|70|90
2026-04-18|138|1206.79|1372.00|-231.00|73|81
2026-04-19|118|546.35|873.00|-443.80|71|65
2026-04-20|108|949.26|855.00|-303.00|63|59
2026-04-21|134|1108.79|1124.00|-342.70|73|75
2026-04-22|123|817.61|1215.00|-211.00|67|69
2026-04-23|122|847.32|1139.00|-289.00|71|57
2026-04-24|140|1067.40|1404.00|-406.50|67|85
2026-04-25|130|1043.06|1279.00|-1134.40|68|79
2026-04-26|103|1242.51|831.00|-802.60|62|51
2026-04-27|115|824.99|1238.00|-163.40|65|59
2026-04-28|125|1601.79|1320.00|-740.60|62|73
2026-04-29|121|1095.45|1436.00|-585.10|58|71
2026-04-30|117|782.92|1088.00|-654.20|60|66
2026-05-01|165|1099.81|1861.00|-176.00|69|104
2026-05-02|152|1078.39|1455.00|-86.00|73|94
2026-05-03|120|914.96|697.00|-178.00|71|57
2026-05-04|134|1206.42|1367.00|-426.40|67|74
2026-05-05|137|861.10|1605.00|-555.00|70|77
2026-05-06|145|1246.22|1223.00|-494.00|70|87
2026-05-07|124|918.41|1032.00|-239.00|69|68
2026-05-08|167|1784.02|2507.10|-230.00|82|106
2026-05-09|161|1088.72|1414.00|-381.70|88|90
2026-05-10|119|715.48|964.00|-471.00|62|66
2026-05-11|122|678.25|1285.00|-577.40|62|70
2026-05-12|109|864.28|772.00|-128.00|60|55
2026-05-13|118|942.85|829.00|-113.20|62|65
2026-05-14|109|948.33|725.00|-141.00|67|50
2026-05-15|164|1213.10|1375.00|-476.00|90|86
2026-05-16|159|1383.05|1580.00|-330.00|74|98
2026-05-17|136|1239.52|1273.00|-413.40|91|57
2026-05-18|131|951.17|950.00|-604.80|72|75
2026-05-19|125|949.48|863.00|-589.00|72|63
2026-05-20|137|1098.13|1058.00|-312.90|81|67
2026-05-21|149|1007.28|1056.00|-596.60|82|79
2026-05-22|137|967.57|1174.00|-402.00|80|67
2026-05-23|112|966.65|1132.00|-124.00|59|65
2026-05-24|110|826.31|986.00|-241.00|58|57
2026-05-25|121|969.27|813.00|-166.00|71|58
