2026-04-15|1103.00|199.00|62
2026-04-16|661.00|107.00|43
2026-04-17|1802.00|573.00|90
2026-04-18|1372.00|231.00|81
2026-04-19|873.00|443.80|65
2026-04-20|855.00|303.00|59
2026-04-21|1124.00|342.70|75
2026-04-22|1215.00|211.00|69
2026-04-23|1139.00|289.00|57
2026-04-24|1404.00|406.50|85
2026-04-25|1279.00|1134.40|79
2026-04-26|831.00|802.60|51
2026-04-27|1238.00|163.40|59
2026-04-28|1320.00|740.60|73
2026-04-29|1436.00|585.10|71
2026-04-30|1088.00|654.20|66
2026-05-01|1861.00|176.00|104
2026-05-02|1455.00|86.00|94
2026-05-03|697.00|178.00|57
2026-05-04|1367.00|426.40|74
2026-05-05|1605.00|555.00|77
2026-05-06|1223.00|494.00|87
2026-05-07|1032.00|239.00|68
2026-05-08|2507.10|230.00|106
2026-05-09|1414.00|381.70|90
2026-05-10|964.00|471.00|66
2026-05-11|1285.00|577.40|70
2026-05-12|772.00|128.00|55
2026-05-13|829.00|113.20|65
2026-05-14|725.00|141.00|50
2026-05-15|1375.00|476.00|86
2026-05-16|1580.00|330.00|98
2026-05-17|1273.00|413.40|57
2026-05-18|950.00|604.80|75
2026-05-19|863.00|589.00|63
2026-05-20|1058.00|312.90|67
2026-05-21|1056.00|596.60|79
2026-05-22|1174.00|402.00|67
2026-05-23|1132.00|124.00|65
2026-05-24|986.00|241.00|57
2026-05-25|813.00|166.00|58
2026-05-26|895.00|170.00|62
2026-05-27|1170.50|142.40|64
2026-05-28|1491.00|661.20|82
2026-05-29|1937.00|257.00|101
2026-05-30|1427.00|509.20|72
2026-05-31|618.00|195.00|43
2026-06-01|733.00|315.50|47
2026-06-02|1141.00|201.00|66
2026-06-03|1379.00|457.00|54
2026-06-04|1097.00|477.20|66
2026-06-05|1554.00|552.90|83
2026-06-06|1843.00|550.00|83
2026-06-07|714.00|51.00|49
2026-06-08|994.00|146.00|64
2026-06-09|1463.00|1123.00|75
2026-06-10|1430.00|748.00|86
2026-06-11|1244.00|420.50|70
2026-06-12|1374.00|822.40|89
2026-06-13|1264.00|1261.20|96
2026-06-14|814.00|206.00|40
2026-06-15|766.00|207.40|54
2026-06-16|1626.00|873.80|78
2026-06-17|1260.00|537.00|84
2026-06-18|941.00|970.00|66
2026-06-19|1666.00|935.30|94
2026-06-20|1256.00|272.00|81
2026-06-21|581.00|254.10|44
2026-06-22|656.00|190.00|46
2026-06-23|1092.00|210.00|71
2026-06-24|891.00|138.00|65
2026-06-25|1497.00|348.70|60
2026-06-26|1975.00|1692.00|84
2026-06-27|1364.00|166.00|64
2026-06-28|896.00|152.00|56
2026-06-29|912.00|421.00|57
2026-06-30|1518.00|398.00|78
2026-07-01|2153.00|1567.00|98
2026-07-02|958.00|190.00|67
2026-07-03|2211.00|1402.00|139
2026-07-04|1662.00|446.80|79
2026-07-05|607.00|51.00|43
2026-07-06|789.00|190.00|60
2026-07-07|1332.00|361.50|80
2026-07-08|1085.00|372.10|72
2026-07-09|1087.00|802.00|66
2026-07-10|1548.50|290.60|77
2026-07-11|1400.00|585.00|87
2026-07-12|784.00|519.00|59
2026-07-13|670.00|72.00|43
2026-07-14|1101.00|306.00|64
2026-07-15|806.00|644.50|54
2026-07-16|1335.00|426.10|63
2026-07-17|1153.00|675.00|72
2026-07-18|1873.00|579.60|91
2026-07-19|813.00|102.00|45
2026-07-20|1098.00|125.00|56
2026-07-21|943.00|113.00|64
2026-07-22|1165.00|234.00|66
2026-07-23|999.00|935.00|52
2026-07-24|1422.00|472.60|81
2026-07-25|1366.00|445.80|83
2026-07-26|610.40|218.00|38
2026-07-27|781.00|430.30|57
2026-07-28|987.00|720.00|86
2026-07-29|1290.00|586.00|92
2026-07-30|958.00|451.00|57
2026-07-31|1297.00|596.00|73
2026-08-01|1558.00|1102.20|90
2026-08-02|1534.00|271.20|62
2026-08-03|1040.00|167.30|66
2026-08-04|1004.00|215.00|55
2026-08-05|1622.00|433.40|84
2026-08-06|1064.00|137.00|65
2026-08-07|1662.00|421.00|94
2026-08-08|1848.00|1060.00|94
2026-08-09|686.00|189.30|43
2026-08-10|795.00|614.30|55
2026-08-11|1041.00|280.40|77
2026-08-12|862.00|1249.00|53
2026-08-13|956.00|260.00|64
2026-08-14|1451.00|71.00|77
2026-08-15|1208.00|519.50|87
2026-08-16|926.00|136.00|53
2026-08-17|666.00|184.00|61
2026-08-18|1351.00|179.00|69
2026-08-19|1907.00|1502.50|84
