Logs|Date|datetime|28308
(4 rows affected)
POS_ClosingCash|ClosingID|int|232
POS_ClosingCash|OpenID|int|232
POS_ClosingCash|ClosingDate|datetime|232
POS_ClosingCash|CQ1|int|0
POS_ClosingCash|CQ5|int|0
POS_ClosingCash|CQ10|int|0
POS_ClosingCash|CQ20|int|0
POS_ClosingCash|CQ50|int|0
POS_ClosingCash|CQ100|int|0
POS_ClosingCash|CLP|int|0
POS_ClosingCash|CLN|int|0
POS_ClosingCash|CLD|int|0
POS_ClosingCash|CLQ|int|0
POS_ClosingCash|CLHD|int|0
POS_ClosingCash|CLDC|int|0
POS_ClosingCash|CRP|int|0
POS_ClosingCash|CRN|int|0
POS_ClosingCash|CRD|int|0
POS_ClosingCash|CRQ|int|0
POS_ClosingCash|CRHD|int|0
POS_ClosingCash|CRDC|int|0
POS_ClosingCash|CTotalCashN|decimal|0
POS_ClosingCash|CTotalCashL|decimal|0
POS_ClosingCash|CTotalCashR|decimal|0
POS_ClosingCash|ClosingBalance|decimal|0
POS_ClosingCash|ActualCashSales|decimal|215
POS_ClosingCash|DifferInCash|decimal|0
POS_ClosingCash|U_ID|nchar|232
(28 rows affected)
POS_OpeningCash|OpenID|int|201
POS_OpeningCash|TillDetails|nchar|201
POS_OpeningCash|UserID|nchar|201
POS_OpeningCash|OpeningDate|datetime|201
POS_OpeningCash|Closed|int|201
POS_OpeningCash|Q1|int|1
POS_OpeningCash|A1|decimal|1
POS_OpeningCash|Q5|int|2
POS_OpeningCash|A5|decimal|2
POS_OpeningCash|Q10|int|2
POS_OpeningCash|A10|decimal|2
POS_OpeningCash|Q20|int|1
POS_OpeningCash|A20|decimal|1
POS_OpeningCash|Q50|int|0
POS_OpeningCash|A50|decimal|0
POS_OpeningCash|Q100|int|0
POS_OpeningCash|A100|decimal|0
POS_OpeningCash|LP|int|0
POS_OpeningCash|LN|int|0
POS_OpeningCash|LD|int|0
POS_OpeningCash|LQ|int|0
POS_OpeningCash|LHD|int|0
POS_OpeningCash|LDC|int|0
POS_OpeningCash|RP|int|0
POS_OpeningCash|RN|int|0
POS_OpeningCash|RD|int|0
POS_OpeningCash|RQ|int|0
POS_OpeningCash|RHD|int|0
POS_OpeningCash|RDC|int|0
POS_OpeningCash|TotalCashN|decimal|2
POS_OpeningCash|TotalCashL|decimal|0
