DeletedInvoices|Canceled_Deleted|nchar|40|1|10
EmailSetting|Id|int|4|0|1
EmailSetting|ServerName|nchar|300|0|2
EmailSetting|SMTPAddress|nvarchar|500|0|3
EmailSetting|Username|nchar|400|0|4
EmailSetting|Password|nchar|200|0|5
EmailSetting|Port|int|4|0|6
EmailSetting|TLS_SSL_Required|nchar|20|0|7
EmailSetting|IsDefault|nchar|20|0|8
EmailSetting|IsActive|nchar|20|0|9
Expense|ExpenseName|nvarchar|500|0|1
Expense|ExpenseType|nchar|400|0|2
ExpenseType|Type|nchar|400|0|1
FundDeposit|Id|int|4|0|1
FundDeposit|DepositerName|nchar|300|1|2
FundDeposit|Amount|decimal|9|1|3
FundDeposit|Date|datetime|8|1|4
FundDeposit|AccNo|nchar|100|1|5
FundDeposit|Notes|nchar|400|1|6
FundTransfer|Id|int|4|0|1
FundTransfer|AccountTransFrom|nchar|100|1|2
FundTransfer|AccountTransTo|nchar|100|1|3
FundTransfer|Amount|decimal|9|1|4
FundTransfer|Date|datetime|8|1|5
FundTransfer|Operator|nchar|300|1|6
FundTransfer|Notes|nchar|400|1|7
GiftCard|ID|nchar|40|0|1
GiftCard|Amount|decimal|9|1|2
GiftCard|CustomerName|nchar|300|1|3
GiftCard|EntryDate|datetime|8|1|4
Invoice_Payment|IP_ID|int|4|0|1
Invoice_Payment|InvoiceID|int|4|1|2
Invoice_Payment|PaymentMode|nchar|300|1|3
Invoice_Payment|Amount|decimal|9|1|4
Invoice_Product|IPo_ID|int|4|0|1
Invoice_Product|InvoiceID|int|4|0|2
Invoice_Product|ProductID|int|4|1|3
Invoice_Product|Barcode|nchar|200|1|4
Invoice_Product|MfgDate|nchar|100|1|5
Invoice_Product|ExpiryDate|nchar|100|1|6
Invoice_Product|SalesRate|decimal|9|1|7
Invoice_Product|DiscountPer|decimal|9|1|8
Invoice_Product|Discount|decimal|9|1|9
Invoice_Product|VATPer|decimal|9|1|10
Invoice_Product|VAT|decimal|9|1|11
Invoice_Product|Qty|float|8|1|12
Invoice_Product|TotalAmount|decimal|9|1|13
Invoice_Product|PurchaseRate|decimal|9|1|14
Invoice_Product|Margin|decimal|9|1|15
Invoice_Product|FreeQty|float|8|1|16
Invoice_Product|ItemNote|nvarchar|500|1|17
Invoice_Product|ORate|decimal|9|1|18
Invoice_Product|TPSPer|decimal|9|1|19
Invoice_Product|TPSAmt|decimal|9|1|20
Invoice_Product|TVQPer|decimal|9|1|21
Invoice_Product|TVQAmt|decimal|9|1|22
Invoice_Product|BDX|decimal|9|1|23
InvoiceInfo|Inv_ID|int|4|0|1
InvoiceInfo|InvoiceNo|nchar|60|0|2
InvoiceInfo|InvoiceDate|datetime|8|0|3
InvoiceInfo|OpenID|int|4|1|4
InvoiceInfo|CurrencyCode|nchar|100|1|5
InvoiceInfo|ExchangeRate|decimal|9|1|6
InvoiceInfo|DiscPer|decimal|9|1|7
InvoiceInfo|DiscAmt|decimal|9|1|8
InvoiceInfo|GrandTotal|decimal|9|1|9
InvoiceInfo|TaxType|nchar|40|1|10
InvoiceInfo|Member_ID|nchar|100|1|11
InvoiceInfo|SalesmanID|int|4|1|12
InvoiceInfo|Cash|decimal|9|1|13
InvoiceInfo|Change|decimal|9|1|14
