Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
Somersby 473ML,Somersby 473ML,0.00,4.04,13.00,Beer
Tiger Lager 500 ml,Tiger Lager 500 ml,0.00,4.16,13.00,Beer
Twisted tea original 473,Twisted tea original 473,0.00,4.04,13.00,Beer
Twisted tea pineapple,Twisted tea pineapple,0.00,4.00,13.00,Beer
White Claw Mango 473ML,White Claw Mango 473ML,3.39,4.04,13.00,Beer
white claw passion fruit,white claw passion fruit,3.79,4.38,13.00,Beer
Peach Tea Peach,Peach Tea Peach,0.00,2.25,13.00,bevrages
Fuzion keepbest,Fuzion keepbest,0.00,19.20,13.00,BONG AND PIPES
HAPPY VALEMTINE 6INH,HAPPY VALEMTINE 6INH,0.00,5.64,13.00,BONG AND PIPES
Adaptor Plug,Adaptor Plug,0.00,3.38,13.00,Cables and Chargers
058496467494,BOUNTY,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
061200018769,061200018769,1.18,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
5 gum acsent,5 gum acsent,0.00,3.49,13.00,"CANDY,GUMS & CHOCOLATES"
5 gum cobalt,5 gum cobalt,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
5 gum flood,5 gum flood,0.00,3.49,13.00,"CANDY,GUMS & CHOCOLATES"
5 gum prism,5 gum prism,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
5 gum rain,5 gum rain,0.00,3.49,13.00,"CANDY,GUMS & CHOCOLATES"
AIRHEAD 15.6G CHERRY,AIRHEAD 15.6G CHERRY,0.00,0.61,13.00,"CANDY,GUMS & CHOCOLATES"
AIRHEADS 15.6G BLUE RASPBERRY,AIRHEADS 15.6G BLUE RASPBERRY,0.00,0.60,13.00,"CANDY,GUMS & CHOCOLATES"
AIRHEADS 15.6G WATER MELON,AIRHEADS 15.6G WATER MELON,0.00,0.99,13.00,"CANDY,GUMS & CHOCOLATES"
