Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
COKE DIET 710ML,COKE DIET 710ML,0.00,3.38,13.00,DRINKS
COKE ZERO 2L,COKE ZERO 2L,0.00,4.51,13.00,DRINKS
COKE ZERO 355UNI CAN,COKE ZERO 355UNI CAN,0.00,1.50,13.00,DRINKS
COLA OG 710UNI,COLA OG 710UNI,2.49,3.38,13.00,DRINKS
COOL RUNNINGS 500ML,COOL RUNNINGS 500ML,0.00,2.99,13.00,DRINKS
coors   473 ml,coors   473 ml,0.00,3.48,13.00,DRINKS
crus,crus,0.00,2.02,13.00,DRINKS
Crush,Crush,0.00,1.50,13.00,DRINKS
CRUSH ORANGE,CRUSH ORANGE,0.00,1.50,13.00,DRINKS
CRUSH ORANGE 710ML,CRUSH ORANGE 710ML,0.00,3.38,13.00,DRINKS
del monte mango,del monte mango,0.00,4.03,13.00,DRINKS
Del monte orange,Del monte orange,0.00,3.96,13.00,DRINKS
diet a and w 2lt,diet a and w 2lt,0.00,4.85,13.00,DRINKS
DIET COKE 355UNI CAN,DIET COKE 355UNI CAN,0.00,1.50,13.00,DRINKS
Dr Pepper 710 ml,Dr Pepper 710 ml,0.00,3.38,13.00,DRINKS
DR PEPPER CAN,DR PEPPER CAN,0.00,1.75,13.00,DRINKS
DRINKS 2l,DRINKS 2l,0.00,4.51,13.00,DRINKS
DRINKS 355UNI--,DRINKS 355UNI--,0.00,1.50,13.00,DRINKS
DRINKS 710ML,DRINKS 710ML,0.00,3.38,13.00,DRINKS
DRINKS 7UP 2LT,DRINKS 7UP 2LT,0.00,4.51,13.00,DRINKS
DRINKS CRUSH CREAM SODA 2LT,DRINKS CRUSH CREAM SODA 2LT,0.00,4.51,13.00,DRINKS
DRINKS CRUSH ORANGE 2LT,DRINKS CRUSH ORANGE 2LT,0.00,4.69,13.00,DRINKS
DRINKS DR PAPPER 2LT,DRINKS DR PAPPER 2LT,0.00,4.51,13.00,DRINKS
DRINKS ZERO SUGAR 710,DRINKS ZERO SUGAR 710,0.00,3.94,13.00,DRINKS
Ensure Reg,Ensure Reg,0.00,3.74,13.00,DRINKS
Fanta,Fanta,0.00,2.11,13.00,DRINKS
Fanta 2l,Fanta 2l,0.00,4.51,13.00,DRINKS
FANTA 2L OR,FANTA 2L OR,0.00,5.01,13.00,DRINKS
Fanta 355,Fanta 355,0.00,1.50,13.00,DRINKS
Fanta 710,Fanta 710,0.00,3.62,13.00,DRINKS
fanta can,fanta can,0.00,1.50,13.00,DRINKS
Fanta Strawberry 2L,Fanta Strawberry 2L,1.00,4.51,13.00,DRINKS
FIJI 1.5L,FIJI 1.5L,0.00,5.07,13.00,DRINKS
FRESCA   2L,FRESCA   2L,2.04,4.51,13.00,DRINKS
FRITR ICED TEA,FRITR ICED TEA,1.66,4.51,13.00,DRINKS
FRUITIE FRUIT PUNCH,FRUITIE FRUIT PUNCH,0.00,4.51,13.00,DRINKS
fuse,fuse,0.00,1.75,13.00,DRINKS
G CITRON LIME 710UNI,G CITRON LIME 710UNI,0.00,3.96,13.00,DRINKS
G COOL BLUE  591UNI,G COOL BLUE  591UNI,1.66,2.37,13.00,DRINKS
G COOL BLUE 591UNI,G COOL BLUE 591UNI,0.00,3.38,13.00,DRINKS
G COOL CLUE 710UNI,G COOL CLUE 710UNI,0.00,3.96,13.00,DRINKS
G FRIU PUNCH 591UNI,G FRIU PUNCH 591UNI,1.66,3.38,13.00,DRINKS
G FRIUT PUNCH 710UNI,G FRIUT PUNCH 710UNI,1.47,3.96,13.00,DRINKS
G ORANGE 591UNI,G ORANGE 591UNI,1.66,3.50,13.00,DRINKS
G ZERO BERRY,G ZERO BERRY,0.00,3.38,13.00,DRINKS
G ZERO BERRY  591UNI,G ZERO BERRY  591UNI,0.00,3.38,13.00,DRINKS
G ZERO GLACIER FREEZE,G ZERO GLACIER FREEZE,0.00,3.38,13.00,DRINKS
G ZERO LEMON LIM E  591UNI,G ZERO LEMON LIM E  591UNI,0.00,3.38,13.00,DRINKS
G ZERO ORANGE 591UNI,G ZERO ORANGE 591UNI,0.00,3.38,13.00,DRINKS
G2 FRUIT PUNCH 591UNI,G2 FRUIT PUNCH 591UNI,0.00,3.50,13.00,DRINKS
G2 ORANGE   591UNI,G2 ORANGE   591UNI,0.00,3.50,13.00,DRINKS
Gatorade,Gatorade,0.00,3.50,13.00,DRINKS
GATORADE G2 GRAPE 591UNI,GATORADE G2 GRAPE 591UNI,0.00,3.38,13.00,DRINKS
G-ZERO LIME 591UNI,G-ZERO LIME 591UNI,0.00,3.50,13.00,DRINKS
http://pepsico.info/4yLCUx,http://pepsico.info/4yLCUx,0.00,3.38,13.00,DRINKS
laker ice black 473 ml,laker ice black 473 ml,0.00,2.91,13.00,DRINKS
laker lager  473 ml,laker lager  473 ml,0.00,2.91,13.00,DRINKS
Laker red,Laker red,0.00,2.91,13.00,DRINKS
Maison Perrier,Maison Perrier,0.00,2.25,13.00,DRINKS
MOJI LIGHTER,SMOKE,0.00,8.19,13.00,DRINKS
MONSTER ORIGINAL,MONSTER ORIGINAL,0.00,4.51,13.00,DRINKS
MONSTER ULTRA PEACHY KEEN,MONSTER ULTRA PEACHY KEEN,0.00,4.51,13.00,DRINKS
MONSTER ULTRA ZERO,MONSTER ULTRA ZERO,0.00,4.51,13.00,DRINKS
MONSTER ZERO SUGAR,MONSTER ZERO SUGAR,0.00,4.51,13.00,DRINKS
Mug Root Beer 355ml,Mug Root Beer 355ml,0.00,1.50,13.00,DRINKS
NAYA 600ml,NAYA 600ml,0.00,1.75,13.00,DRINKS
NESTEA LEMON 355ML,NESTEA LEMON 355ML,0.67,1.50,13.00,DRINKS
OASIS ORANGE 300 ML,OASIS ORANGE 300 ML,0.00,2.00,13.00,DRINKS
PEACE TEA PEACH,PEACE TEA PEACH,0.00,2.25,13.00,DRINKS
PEACE TEA RASPBERRY,PEACE TEA RASPBERRY,0.00,2.25,13.00,DRINKS
PEACE TEA SNO BERRY,PEACE TEA SNO BERRY,0.00,2.25,13.00,DRINKS
Pepsi Diet 710 ml,Pepsi Diet 710 ml,0.00,3.39,13.00,DRINKS
Pepsi zero,Pepsi zero,0.00,3.38,13.00,DRINKS
pine apple burst,pine apple burst,0.00,4.03,13.00,DRINKS
POP SHOP BLACK CHERRY,POP SHOP BLACK CHERRY,0.00,2.51,13.00,DRINKS
"POP SHOP COTTON CANDY,GUMS & CHOCOLATES","POP SHOP COTTON CANDY,GUMS & CHOCOLATES",0.00,2.51,13.00,DRINKS
POP SHOP CREAM SODA,POP SHOP CREAM SODA,0.00,2.51,13.00,DRINKS
POP SHOP LIME,POP SHOP LIME,0.00,2.51,13.00,DRINKS
POWER ADE FRUIT PUNCH,POWER ADE FRUIT PUNCH,0.00,3.94,13.00,DRINKS
POWER ADE MELON PINEAPPLE,POWER ADE MELON PINEAPPLE,0.00,3.38,13.00,DRINKS
POWER ADE MIX BERRY,POWER ADE MIX BERRY,0.00,3.94,13.00,DRINKS
POWER ADE ORANGE,POWER ADE ORANGE,0.00,3.38,13.00,DRINKS
powerade zero blue,powerade zero blue,0.00,3.94,13.00,DRINKS
powerade zero punch,powerade zero punch,0.00,3.94,13.00,DRINKS
Pwrd,Pwrd,0.00,3.94,13.00,DRINKS
RED BULL 250 original,RED BULL 250 original,0.00,4.01,13.00,DRINKS
RED BULL 355 UNI,RED BULL 355 UNI,0.00,4.24,13.00,DRINKS
RED BULL 473 UNI,RED BULL 473 UNI,0.00,6.50,13.00,DRINKS
RED BULL SUGAR FREE 250 UNI,RED BULL SUGAR FREE 250 UNI,0.00,4.01,13.00,DRINKS
RED BULL SUGAR FREE 355 UNI,RED BULL SUGAR FREE 355 UNI,0.00,4.24,13.00,DRINKS
Schweppers Ginger ale,Schweppers Ginger ale,0.00,3.38,13.00,DRINKS
SCHWEPPES 2LT,SCHWEPPES 2LT,0.00,4.85,13.00,DRINKS
soda club,soda club,0.00,1.50,13.00,DRINKS
sprite  zero sugar,sprite  zero sugar,0.00,4.85,13.00,DRINKS
SPRITE 2L,SPRITE 2L,0.00,4.51,13.00,DRINKS
SPRITE 710 ML,SPRITE 710 ML,0.00,3.38,13.00,DRINKS
SPRITE CAN,SPRITE CAN,0.00,1.68,13.00,DRINKS
Steam Whistle,Steam Whistle,0.00,4.50,13.00,DRINKS
stella  473 ml,stella  473 ml,0.00,3.94,13.00,DRINKS
SUNNY D ORANGE ST,SUNNY D ORANGE ST,0.00,2.25,13.00,DRINKS
SUNNY TANGY ORIGINAL,SUNNY TANGY ORIGINAL,0.00,2.25,13.00,DRINKS
ting sparkling grape fruit,ting sparkling grape fruit,0.00,2.75,13.00,DRINKS
TONIC WATERMELON,ARIZONA,0.00,3.74,13.00,DRINKS
Twisted Tea,Twisted Tea,3.99,4.51,13.00,DRINKS
Vita coconut waster 330ml,Vita coconut waster 330ml,0.00,2.81,13.00,DRINKS
Allens apple juice 200ml,Allens apple juice 200ml,0.00,1.00,0.00,DRINKS NO TAX
COCONUT WATER 500UNI,COCONUT WATER 500UNI,0.00,3.50,0.00,DRINKS NO TAX
Ensure Protein Drink Strawberry,Ensure Protein Drink Strawberry,0.00,3.75,0.00,DRINKS NO TAX
Ensure Protein Drink Vanilla,Ensure Protein Drink Vanilla,0.00,3.75,0.00,DRINKS NO TAX
Ensure Protien Drink Chocolate,Ensure Protien Drink Chocolate,0.00,3.75,0.00,DRINKS NO TAX
Nestea,Nestea,0.00,2.50,0.00,DRINKS NO TAX
Bussman Fuze 20A,Bussman Fuze 20A,0.00,6.77,13.00,ELECTRONICS
High Speed Ultra Quiet HX64,High Speed Ultra Quiet HX64,0.00,39.54,13.00,ELECTRONICS
Mini HX61,Mini HX61,0.00,25.98,13.00,ELECTRONICS
Type C cable,Type C cable,0.00,11.29,13.00,ELECTRONICS
Ultra thin HOCO HX 65,Ultra thin HOCO HX 65,0.00,30.50,13.00,ELECTRONICS
USB C TYPE CABLE TECO,USB C TYPE CABLE TECO,0.00,11.29,13.00,ELECTRONICS
Borofone cable,Borofone cable,0.00,9.03,13.00,Electronics - My top gift
Borofone Headphones,Borofone Headphones,0.00,56.49,13.00,Electronics - My top gift
Borofone Headphones,Borofone Headphones,0.00,56.49,13.00,Electronics - My top gift
Borofone Headphones,Borofone Headphones,0.00,56.49,13.00,Electronics - My top gift
Cable,Cable,0.00,6.77,13.00,Electronics - My top gift
Hoco - BT Speaker,Hoco - BT Speaker,0.00,33.89,13.00,Electronics - My top gift
Hoco Adapter,Hoco Adapter,0.00,25.98,13.00,Electronics - My top gift
Hoco BT Speaker,Hoco BT Speaker,0.00,33.89,13.00,Electronics - My top gift
Hoco BT Speaker,Hoco BT Speaker,0.00,68.92,13.00,Electronics - My top gift
Hoco Charger,Hoco Charger,0.00,18.07,13.00,Electronics - My top gift
Hoco Charger,Hoco Charger,0.00,18.07,13.00,Electronics - My top gift
Hoco Charger,Hoco Charger,0.00,18.07,13.00,Electronics - My top gift
Hoco charger adapter,Hoco charger adapter,0.00,14.68,13.00,Electronics - My top gift
Hoco Hair Clipper,Hoco Hair Clipper,0.00,56.49,13.00,Electronics - My top gift
Hoco Headset,Hoco Headset,0.00,40.67,13.00,Electronics - My top gift
Hoco Headset,Hoco Headset,0.00,58.75,13.00,Electronics - My top gift
Hoco Headset wireless BT,Hoco Headset wireless BT,0.00,28.24,13.00,Electronics - My top gift
Hoco Headset with case,Hoco Headset with case,0.00,42.93,13.00,Electronics - My top gift
Hoco Headset with case,Hoco Headset with case,0.00,40.67,13.00,Electronics - My top gift
Hoco Kids HeadPhones,Hoco Kids HeadPhones,0.00,38.41,13.00,Electronics - My top gift
Hoco Socket,Hoco Socket,0.00,33.89,13.00,Electronics - My top gift
HocoMini Charger,HocoMini Charger,0.00,19.20,13.00,Electronics - My top gift
Van Dens Earphones,Van Dens Earphones,0.00,18.07,13.00,Electronics - My top gift
Van dens earphones,Van dens earphones,0.00,14.68,13.00,Electronics - My top gift
Van Dens Earphones,Van Dens Earphones,0.00,11.29,13.00,Electronics - My top gift
Van Dens Earphones,Van Dens Earphones,0.00,10.16,13.00,Electronics - My top gift
Van dens Power bank,Van dens Power bank,0.00,25.98,13.00,Electronics - My top gift
Van Dens Power bank,Van Dens Power bank,0.00,31.63,13.00,Electronics - My top gift
Ven Dens,Ven Dens,0.00,14.68,13.00,Electronics - My top gift
Ven Dens Adapter,Ven Dens Adapter,0.00,20.33,13.00,Electronics - My top gift
Ven Dens Adapter,Ven Dens Adapter,0.00,23.72,13.00,Electronics - My top gift
Ven Dens Adapter,Ven Dens Adapter,0.00,42.93,13.00,Electronics - My top gift
Ven Dens cable,Ven Dens cable,0.00,12.42,13.00,Electronics - My top gift
Ven Dens Cable,Ven Dens Cable,0.00,14.68,13.00,Electronics - My top gift
Ven dens cable,Ven dens cable,0.00,14.68,13.00,Electronics - My top gift
Ven dens cable,Ven dens cable,0.00,14.68,13.00,Electronics - My top gift
Ven Dens Car holder,Ven Dens Car holder,0.00,18.07,13.00,Electronics - My top gift
Ven dens car holder,Ven dens car holder,0.00,7.90,13.00,Electronics - My top gift
Ven Dens Car Holder,Ven Dens Car Holder,0.00,14.68,13.00,Electronics - My top gift
Ven Dens Car Holder,Ven Dens Car Holder,0.00,13.55,13.00,Electronics - My top gift
Ven dens car mp3 player,Ven dens car mp3 player,0.00,22.59,13.00,Electronics - My top gift
Ven dens data cable,Ven dens data cable,0.00,11.29,13.00,Electronics - My top gift
Ven Dens Gaming Head Phones,Ven Dens Gaming Head Phones,0.00,30.50,13.00,Electronics - My top gift
Ven Dens Mini Car Charger,Ven Dens Mini Car Charger,0.00,11.29,13.00,Electronics - My top gift
Ven Dens Power Bank,Ven Dens Power Bank,0.00,39.54,13.00,Electronics - My top gift
Ven Dens Wireless charger,Ven Dens Wireless charger,0.00,20.33,13.00,Electronics - My top gift
Gatorade,Gatorade,0.00,3.50,13.00,ENERGY DRINK
Monster Energy drink,Monster Energy drink,0.00,4.51,13.00,ENERGY DRINK
Solid Vibe,Solid Vibe,0.00,4.51,13.00,ENERGY DRINK
Solid Vibe,Solid Vibe,0.00,4.51,13.00,ENERGY DRINK
Solid Vibe,Solid Vibe,0.00,4.51,13.00,ENERGY DRINK
Munchies peanuts,Munchies peanuts,0.00,2.25,13.00,FOOD ITMES
Patty,Patty,0.00,2.51,13.00,FOOD ITMES
Patty Combo,Patty Combo,0.00,3.50,13.00,FOOD ITMES
25D Lighter,25D Lighter,1.00,1.70,13.00,GENERAL ITEMS
Aluminium Foil,Aluminium Foil,0.00,5.64,13.00,GENERAL ITEMS
Bandage,Bandage,0.00,3.38,13.00,GENERAL ITEMS
Bandage,Bandage,0.00,3.38,13.00,GENERAL ITEMS
BANDANA,BANDANA,0.00,3.38,13.00,GENERAL ITEMS
bubbly mango,bubbly mango,0.00,2.59,13.00,GENERAL ITEMS
Clorox,Clorox,0.00,6.77,13.00,GENERAL ITEMS
Cutlery,Cutlery,0.00,4.51,13.00,GENERAL ITEMS
Cutlery,Cutlery,0.00,4.51,13.00,GENERAL ITEMS
Dettol,Dettol,0.00,13.55,13.00,GENERAL ITEMS
Gain Detergent liq.,Gain Detergent liq.,0.00,7.90,13.00,GENERAL ITEMS
gain original,gain original,0.00,7.90,13.00,GENERAL ITEMS
Lays Sour Cream & Onion,Lays Sour Cream & Onion,1.00,5.64,13.00,GENERAL ITEMS
MISCELLANEOUS,MISCELLANEOUS,0.00,0.00,13.00,GENERAL ITEMS
OCB Regular,OCB Regular,3.49,3.38,13.00,GENERAL ITEMS
Old dutch,Old dutch,0.00,8.92,13.00,GENERAL ITEMS
PHOTO,PHOTO,0.00,16.94,13.00,GENERAL ITEMS
Pure air,Pure air,0.00,7.35,13.00,GENERAL ITEMS
Pure Air,Pure Air,0.00,7.35,13.00,GENERAL ITEMS
Purew Air,Purew Air,0.00,7.35,13.00,GENERAL ITEMS
Small Aluminium tray,Small Aluminium tray,0.00,3.38,13.00,GENERAL ITEMS
sparemint,sparemint,0.00,3.38,13.00,GENERAL ITEMS
Tide Matic,Tide Matic,0.00,9.03,13.00,GENERAL ITEMS
Titan Freezer Bags,Titan Freezer Bags,0.00,3.11,13.00,GENERAL ITEMS
Tide,Tide,0.00,9.03,13.00,GENERAL ITMES
BOTTLE DEPOSIT,BOTTLE DEPOSIT,0.00,0.10,0.00,GENERAL NO TAX
Cheerios,Cheerios,0.00,5.50,0.00,GENERAL NO TAX
Corned Beef 340g,Corned Beef 340g,0.00,5.99,0.00,GENERAL NO TAX
CREDIT CARD FEE,CREDIT CARD FEE,0.00,0.00,0.00,GENERAL NO TAX
DEBIT CARD FEES,DEBIT CARD FEES,0.00,0.25,0.00,GENERAL NO TAX
DHL,DHL,0.00,0.00,0.00,GENERAL NO TAX
Eggs 12 Large,Eggs 12 Large,0.00,5.00,0.00,GENERAL NO TAX
Fob,Fob,0.00,25.00,0.00,GENERAL NO TAX
LD LIGHTER,LD,0.00,3.00,0.00,GENERAL NO TAX
PRINT OUT,PRINT OUT,0.00,0.00,0.00,GENERAL NO TAX
SUPPLIER PAYOUT,SUPPLIER PAYOUT,0.00,0.00,0.00,GENERAL NO TAX
Tea bag,Tea bag,0.00,8.99,0.00,GENERAL NO TAX
Aluminum Foil,Aluminum Foil,0.00,3.38,13.00,GROCERY
axe appoloo,axe appoloo,0.00,6.77,13.00,GROCERY
Bounty plus,Bounty plus,0.00,4.51,13.00,GROCERY
BULDUK SPICY CHIKEN 105 G,BULDUK SPICY CHIKEN 105 G,2.49,3.94,13.00,GROCERY
BULDUK SPICY RAMEN 105 G,BULDUK SPICY RAMEN 105 G,2.49,4.01,13.00,GROCERY
Catch master,Catch master,0.00,6.77,13.00,GROCERY
Cling Wrap,Cling Wrap,0.00,5.64,13.00,GROCERY
Clorox,Clorox,0.00,6.77,13.00,GROCERY
Cockroach trap,Cockroach trap,0.00,2.25,13.00,GROCERY
Colgate Brush,Colgate Brush,0.00,3.38,13.00,GROCERY
Cranberry juice Original 1.89l,Cranberry juice Original 1.89l,0.00,6.77,13.00,GROCERY
Delicious kitchen coconut water,Delicious kitchen coconut water,0.00,2.25,13.00,GROCERY
Downy softner,Downy softner,0.00,11.29,13.00,GROCERY
Eska,Eska,0.00,3.01,13.00,GROCERY
Febreze air mist,Febreze air mist,0.00,7.35,13.00,GROCERY
Glue snare,Glue snare,0.00,4.51,13.00,GROCERY
Hellmans Mayo 340 ML,Hellmans Mayo 340 ML,0.00,9.03,13.00,GROCERY
Hello Panda,Hello Panda,0.00,1.13,13.00,GROCERY
HEM 3IN1,HEM 3IN1,0.00,0.00,13.00,GROCERY
HEM GULAB,HEM GULAB,0.00,0.00,13.00,GROCERY
Kikkoman Soy Sauce,Kikkoman Soy Sauce,0.00,9.03,13.00,GROCERY
Kirkland Tissue,Kirkland Tissue,0.00,10.16,13.00,GROCERY
Large Trey,Large Trey,0.00,5.09,13.00,GROCERY
Lays 200g,Lays 200g,0.00,5.64,13.00,GROCERY
MENTOS CINNAMONSTAIN SOFT BATHROOM TISSU,MENTOS CINNAMONSTAIN SOFT BATHROOM TISSUE,0.00,3.38,13.00,GROCERY
Milano Giant Lady Biscuts,Milano Giant Lady Biscuts,0.00,4.51,13.00,GROCERY
NESCAFE RICH 100GM,NESCAFE RICH 100GM,0.00,11.29,13.00,GROCERY
Nongshim Spicy Chicken Bowl GENERAL ITEM,Nongshim Spicy Chicken Bowl GENERAL ITEMS 86g,0.00,2.81,13.00,GROCERY
Oasis Red Grape,Oasis Red Grape,0.00,2.00,13.00,GROCERY
Old dutch,Old dutch,0.00,5.64,13.00,GROCERY
PC Club soda,PC Club soda,0.00,4.51,13.00,GROCERY
Plates,Plates,0.00,5.64,13.00,GROCERY
PRINGLES PIZZA,PRINGLES PIZZA,0.00,5.64,13.00,GROCERY
Pure air,Pure air,0.00,3.38,13.00,GROCERY
Pure air,Pure air,0.00,3.38,13.00,GROCERY
Pure clean dish washing solution,Pure clean dish washing solution,0.00,3.38,13.00,GROCERY
Pure klean,Pure klean,0.00,3.38,13.00,GROCERY
Rougemont Apple juice 2L,Rougemont Apple juice 2L,0.00,5.65,13.00,GROCERY
Saniblend Cleaner,Saniblend Cleaner,0.00,16.94,13.00,GROCERY
Small Trey,Small Trey,0.00,2.83,13.00,GROCERY
Snuggle air freshner,Snuggle air freshner,0.00,3.38,13.00,GROCERY
Strongmore Aluminium Foil,Strongmore Aluminium Foil,0.00,6.77,13.00,GROCERY
Tide,Tide,0.00,9.03,13.00,GROCERY
Tide,Tide,0.00,7.90,13.00,GROCERY
Tide detergent,Tide detergent,0.00,9.03,13.00,GROCERY
Tide detergent,Tide detergent,0.00,4.51,13.00,GROCERY
Tide Original 1L,Tide Original 1L,0.00,12.42,13.00,GROCERY
Tonkotsu,Tonkotsu,0.00,4.52,13.00,GROCERY
Uni blue air freshner,Uni blue air freshner,0.00,4.51,13.00,GROCERY
Venice shot glass,Venice shot glass,0.00,4.51,13.00,GROCERY
WD-40,WD-40,0.00,11.29,13.00,GROCERY
Wellson duct tape,Wellson duct tape,0.00,3.38,13.00,GROCERY
Wellson insulation tape,Wellson insulation tape,0.00,3.38,13.00,GROCERY
Wellson painters tape,Wellson painters tape,0.00,3.38,13.00,GROCERY
Wild pard shoe polish,Wild pard shoe polish,0.00,3.38,13.00,GROCERY
Wild pard shoe polish,Wild pard shoe polish,0.00,4.51,13.00,GROCERY
",R.GENERAL ITEMSS SPICY CHICKEN KIMCHI",",R.GENERAL ITEMSS SPICY CHICKEN KIMCHI",0.00,2.00,0.00,GROCERY NO TAX
Advil 10 Tablets,Advil 10 Tablets,0.00,5.99,0.00,GROCERY NO TAX
Arm and Hammer Baking soda,Arm and Hammer Baking soda,0.00,2.99,0.00,GROCERY NO TAX
Axe 48H,Axe 48H,0.00,4.99,0.00,GROCERY NO TAX
Brioche Bun,Brioche Bun,0.00,4.50,0.00,GROCERY NO TAX
Carnation evaporated Milk 354ml,Carnation evaporated Milk 354ml,0.00,2.99,0.00,GROCERY NO TAX
Chap Ice,Chap Ice,0.00,6.00,0.00,GROCERY NO TAX
Chcken Vienna Sausages 130g,Chcken Vienna Sausages 130g,0.00,2.50,0.00,GROCERY NO TAX
CHOCC,CHOCC,0.00,2.50,0.00,GROCERY NO TAX
Christie Chips Ahoy,Christie Chips Ahoy,0.00,4.50,0.00,GROCERY NO TAX
CL CHUNK LIGHT TUNA,CL CHUNK LIGHT TUNA,0.00,3.99,0.00,GROCERY NO TAX
DEMPSTERS WHITE,DEMPSTERS WHITE,2.66,3.50,0.00,GROCERY NO TAX
Dippity,Dippity,0.00,6.00,0.00,GROCERY NO TAX
egg burnbrae 12,egg burnbrae 12,0.00,4.99,0.00,GROCERY NO TAX
ensure 50%less sugar,ensure 50%less sugar,9.99,3.75,0.00,GROCERY NO TAX
Ensure drink,Ensure drink,0.00,3.75,0.00,GROCERY NO TAX
frenchs ketchup,frenchs ketchup,0.00,5.99,0.00,GROCERY NO TAX
Fujian Black tea,Fujian Black tea,0.00,2.99,0.00,GROCERY NO TAX
GROCERY NO TAX,GROCERY NO TAX,0.00,0.00,0.00,GROCERY NO TAX
IP PASTA,IP PASTA,0.00,4.99,0.00,GROCERY NO TAX
Kalas sea salt,Kalas sea salt,0.00,2.99,0.00,GROCERY NO TAX
Lancia Fusilli,Lancia Fusilli,0.00,2.50,0.00,GROCERY NO TAX
Luncheon Meat 340g,Luncheon Meat 340g,0.00,3.50,0.00,GROCERY NO TAX
Margerine,Margerine,0.00,5.00,0.00,GROCERY NO TAX
Maxwell Original,Maxwell Original,0.00,8.99,0.00,GROCERY NO TAX
Mr GENERAL ITEMS chicken,Mr GENERAL ITEMS chicken,0.00,2.00,0.00,GROCERY NO TAX
Mr GENERAL ITEMS pack beef,Mr GENERAL ITEMS pack beef,0.00,1.00,0.00,GROCERY NO TAX
Mr GENERAL ITEMS pack chicken,Mr GENERAL ITEMS pack chicken,0.00,1.00,0.00,GROCERY NO TAX
Mr GENERAL ITEMS pack spicy chicken,Mr GENERAL ITEMS pack spicy chicken,0.00,1.00,0.00,GROCERY NO TAX
Mr GENERAL ITEMS spcy chicken,Mr GENERAL ITEMS spcy chicken,0.00,2.00,0.00,GROCERY NO TAX
MR. GENERAL ITEMSS SPICY BEEF,MR. GENERAL ITEMSS SPICY BEEF,0.00,1.00,0.00,GROCERY NO TAX
Nescafe,Nescafe,0.00,9.99,0.00,GROCERY NO TAX
Nescafe Gold,Nescafe Gold,0.00,13.00,0.00,GROCERY NO TAX
Nescafe Rich,Nescafe Rich,0.00,9.50,0.00,GROCERY NO TAX
OCEAN SPRAY CANNEBERY,OCEAN SPRAY CANNEBERY,0.00,5.99,0.00,GROCERY NO TAX
Oreo Golden,Oreo Golden,0.00,4.50,0.00,GROCERY NO TAX
Oreo Puffs,Oreo Puffs,0.00,5.50,0.00,GROCERY NO TAX
OREO THE ORIGINAL 270G,OREO THE ORIGINAL 270G,0.00,4.99,0.00,GROCERY NO TAX
ORVILLE BUTTER,ORVILLE BUTTER,0.00,1.69,0.00,GROCERY NO TAX
ORVILLE EXTRA BUTTER,ORVILLE EXTRA BUTTER,0.00,1.99,0.00,GROCERY NO TAX
PALL MALL  SMOOTH  KS 20,PALL MALL  SMOOTH  KS 20,0.00,14.50,0.00,GROCERY NO TAX
PALL MALL  SMOOTH  RG 20,PALL MALL  SMOOTH  RG 20,0.00,14.50,0.00,GROCERY NO TAX
Pall Mall bold,Pall Mall bold,0.00,14.50,0.00,GROCERY NO TAX
PALL MALL BOLD KS25,PALL MALL BOLD KS25,0.00,18.00,0.00,GROCERY NO TAX
PALL MALL FULL KS 20,PALL MALL FULL KS 20,0.00,14.50,0.00,GROCERY NO TAX
PALL MALL FULL RG 20,PALL MALL FULL RG 20,0.00,14.50,0.00,GROCERY NO TAX
PALL MALL FULLM KS,PALL MALL FULLM KS,0.00,18.00,0.00,GROCERY NO TAX
PALL MALL SMOOTH KS RG,PALL MALL SMOOTH KS RG,11.78,18.00,0.00,GROCERY NO TAX
PALL MALL SPECIAL XL FULL 20,PALL MALL SPECIAL XL FULL 20,0.00,14.50,0.00,GROCERY NO TAX
PALLMALL SMOOTH KS25,PALLMALL SMOOTH KS25,11.78,18.00,0.00,GROCERY NO TAX
Pepto Bismol 100ML,Pepto Bismol 100ML,0.00,7.00,0.00,GROCERY NO TAX
Primo Elbows 454g,Primo Elbows 454g,1.99,2.50,0.00,GROCERY NO TAX
Primo Spaghettini,Primo Spaghettini,0.00,2.50,0.00,GROCERY NO TAX
primo thick and zesty,primo thick and zesty,0.00,3.50,0.00,GROCERY NO TAX
Qtips small,Qtips small,0.00,4.99,0.00,GROCERY NO TAX
Redpath sugar,Redpath sugar,0.00,5.50,0.00,GROCERY NO TAX
Redpath sugar cubes,Redpath sugar cubes,0.00,4.99,0.00,GROCERY NO TAX
Shakti Coconut oil,Shakti Coconut oil,0.00,9.99,0.00,GROCERY NO TAX
SIFTO FALT,SIFTO FALT,0.00,2.75,0.00,GROCERY NO TAX
Soy Sauce,Soy Sauce,0.00,2.50,0.00,GROCERY NO TAX
Tetley Green Tea,Tetley Green Tea,0.00,4.99,0.00,GROCERY NO TAX
Tetley Orange Pekoe,Tetley Orange Pekoe,0.00,5.99,0.00,GROCERY NO TAX
Tim Hortons,Tim Hortons,0.00,15.99,0.00,GROCERY NO TAX
TWINKIES,TWINKIES,0.00,2.50,0.00,GROCERY NO TAX
Tylenol extra carry on,Tylenol extra carry on,2.69,6.00,0.00,GROCERY NO TAX
UNICO VEGITABLE OIL 3LT.,UNICO VEGITABLE OIL 3LT.,0.00,11.99,0.00,GROCERY NO TAX
Visine original,Visine original,0.00,9.00,0.00,GROCERY NO TAX
